               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.044445,            0.026705,           0.0096993,             0.46019,             0.42767,             0.40106,             0.20888,            0.053792,            0.017455,            0.025051,           0.0087328,           0.0087328,           0.0087328
                  66,            0.044148,            0.027019,           0.0095721,             0.47985,             0.44277,             0.42309,             0.21005,            0.054131,            0.017731,            0.025081,            0.008713,            0.008713,            0.008713
                  67,            0.044359,            0.026599,            0.010241,             0.52046,              0.4634,             0.44447,             0.22185,            0.052266,            0.017461,            0.024408,           0.0086932,           0.0086932,           0.0086932
                  68,              0.0438,            0.026672,           0.0095306,             0.50943,             0.37315,             0.40098,             0.20514,            0.052784,            0.017742,            0.029489,           0.0086734,           0.0086734,           0.0086734
                  69,            0.044995,             0.02651,           0.0095005,             0.50474,             0.42784,             0.42725,             0.21796,            0.052355,            0.017564,            0.024172,           0.0086536,           0.0086536,           0.0086536
                  70,            0.043631,             0.02734,           0.0092328,             0.55758,             0.43927,              0.4664,              0.2401,            0.051429,            0.017585,            0.023834,           0.0086338,           0.0086338,           0.0086338
                  71,            0.044317,            0.027308,             0.00994,             0.50201,              0.4275,             0.40882,               0.215,            0.053624,            0.018013,            0.026878,            0.008614,            0.008614,            0.008614
                  72,            0.043475,            0.026502,           0.0096758,             0.49114,             0.38097,              0.3823,             0.20035,            0.053328,             0.01761,            0.026946,           0.0085942,           0.0085942,           0.0085942
                  73,            0.043643,            0.026384,           0.0099717,             0.50728,             0.45087,             0.43068,             0.22636,            0.053086,            0.017514,            0.025136,           0.0085744,           0.0085744,           0.0085744
                  74,            0.043248,            0.025562,           0.0091174,             0.48099,             0.45595,             0.41756,             0.20044,             0.05432,            0.017889,            0.023184,           0.0085546,           0.0085546,           0.0085546
                  75,            0.043412,            0.026853,           0.0094894,             0.53621,             0.41985,             0.44485,             0.22335,            0.051824,             0.01769,            0.023203,           0.0085348,           0.0085348,           0.0085348
                  76,             0.04357,            0.026638,           0.0099028,             0.55192,             0.45563,             0.43307,             0.20819,            0.053697,            0.018281,            0.027735,            0.008515,            0.008515,            0.008515
                  77,            0.043125,            0.026413,           0.0093016,              0.5611,             0.42956,             0.41823,             0.22057,             0.05474,            0.018306,            0.025937,           0.0084952,           0.0084952,           0.0084952
                  78,            0.043664,            0.026896,           0.0086537,             0.54835,              0.4507,             0.45122,             0.22503,            0.052648,            0.017673,            0.026088,           0.0084754,           0.0084754,           0.0084754
                  79,            0.042756,            0.027341,           0.0096964,             0.59547,             0.39523,             0.45328,             0.22643,            0.053763,             0.01747,            0.024771,           0.0084556,           0.0084556,           0.0084556
                  80,            0.042947,            0.025851,           0.0085193,             0.50521,             0.43629,             0.40386,             0.20023,            0.053708,            0.017874,             0.02938,           0.0084358,           0.0084358,           0.0084358
                  81,            0.042481,            0.026504,           0.0078574,             0.49082,             0.46625,             0.42459,             0.21665,            0.051749,            0.017407,            0.030657,            0.008416,            0.008416,            0.008416
                  82,            0.042105,            0.026172,           0.0083509,             0.55503,               0.456,              0.4411,             0.21807,            0.052802,            0.017689,            0.032575,           0.0083962,           0.0083962,           0.0083962
                  83,            0.043947,            0.027163,           0.0094443,             0.48675,             0.42015,             0.40839,             0.20737,            0.053355,            0.018189,            0.028523,           0.0083764,           0.0083764,           0.0083764
                  84,            0.043671,            0.026571,           0.0097269,             0.47046,             0.45038,             0.42478,             0.22079,            0.052211,            0.017439,             0.02769,           0.0083566,           0.0083566,           0.0083566
                  85,            0.043314,             0.02669,            0.010053,             0.55021,             0.44329,             0.43534,             0.21105,            0.053206,            0.017432,            0.023579,           0.0083368,           0.0083368,           0.0083368
                  86,            0.042762,            0.025781,           0.0089591,             0.53002,             0.48584,             0.43906,             0.22743,            0.051551,            0.017519,             0.03188,            0.008317,            0.008317,            0.008317
                  87,            0.042175,            0.027075,           0.0080849,             0.57309,             0.45787,             0.45186,             0.23175,            0.051784,             0.01715,            0.023374,           0.0082972,           0.0082972,           0.0082972
                  88,            0.041797,            0.026817,           0.0074866,             0.54796,             0.45114,             0.45004,             0.22026,            0.052603,            0.017648,            0.024978,           0.0082774,           0.0082774,           0.0082774
                  89,            0.042527,            0.026257,           0.0085131,             0.52601,             0.45077,             0.42066,             0.21977,            0.051865,            0.017719,            0.028002,           0.0082576,           0.0082576,           0.0082576
                  90,            0.041857,            0.026138,           0.0079595,             0.52575,              0.4518,             0.44778,              0.2417,            0.051315,            0.017399,             0.02572,           0.0082378,           0.0082378,           0.0082378
                  91,            0.041712,             0.02657,           0.0074461,             0.55377,             0.51577,             0.48043,              0.2421,            0.051313,            0.017241,            0.023758,            0.008218,            0.008218,            0.008218
